,Precision,Recall,F1-Score
sadness,0.9624765478424016,0.9327272727272727,0.9473684210526315
joy,0.9854838709677419,0.8703703703703703,0.924357034795764
love,0.7379912663755459,0.9657142857142857,0.8366336633663366
anger,0.8548895899053628,0.9854545454545455,0.9155405405405406
fear,0.9340659340659341,0.8018867924528302,0.8629441624365483
surprise,0.7017543859649122,0.9876543209876543,0.8205128205128205
