epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3028632402420044,1.6315068006515503,0.001,0.5275275111198425,1.2803372144699097
1,0.5300419926643372,1.128117322921753,0.001,0.6931931972503662,0.8438923954963684
2,0.6337321996688843,0.8671463131904602,0.001,0.7722722887992859,0.6412596106529236
3,0.6912474036216736,0.7357468008995056,0.001,0.8178178071975708,0.5387263894081116
4,0.7189399003982544,0.6641955971717834,0.001,0.804804801940918,0.5525495409965515
5,0.7495771050453186,0.5859509110450745,0.001,0.8463463187217712,0.43173322081565857
6,0.7734477519989014,0.5217376947402954,0.001,0.8678678870201111,0.38819190859794617
7,0.7901760339736938,0.4825844168663025,0.001,0.8513513803482056,0.4223545491695404
8,0.8055259585380554,0.4400443732738495,0.001,0.8713713884353638,0.3551052510738373
9,0.8200613856315613,0.40315207839012146,0.001,0.8838838934898376,0.33407658338546753
10,0.8272038102149963,0.38753530383110046,0.001,0.8773773908615112,0.34408077597618103
11,0.8389825224876404,0.36324816942214966,0.001,0.8933933973312378,0.27759552001953125
12,0.8481924533843994,0.33032938838005066,0.001,0.891391396522522,0.282355934381485
13,0.8542071580886841,0.3267868459224701,0.001,0.8923923969268799,0.2886114716529846
14,0.85759037733078,0.3130410611629486,0.001,0.8968968987464905,0.2677609920501709
15,0.863479733467102,0.29462480545043945,0.001,0.8998998999595642,0.2797176241874695
16,0.8702462315559387,0.28661048412323,0.001,0.9004004001617432,0.2621728479862213
17,0.8694943785667419,0.27744659781455994,0.001,0.8953953981399536,0.2725349962711334
18,0.8756970167160034,0.2624579668045044,0.001,0.890890896320343,0.2952171266078949
19,0.8842177987098694,0.2561348080635071,0.001,0.9034034013748169,0.2653913199901581
20,0.8940542340278625,0.22642171382904053,0.0005,0.902402400970459,0.26083260774612427
21,0.8949313759803772,0.22265812754631042,0.0005,0.9059059023857117,0.2354426383972168
22,0.8978134393692017,0.2114167958498001,0.0005,0.9094094038009644,0.2400011271238327
23,0.902825653553009,0.20954404771327972,0.0005,0.9089089035987854,0.2413264513015747
24,0.9042040109634399,0.20493824779987335,0.0005,0.9084084033966064,0.2391197681427002
25,0.9079005122184753,0.18899765610694885,0.00025,0.9099099040031433,0.2398165613412857
26,0.9077125787734985,0.1909017115831375,0.00025,0.9089089035987854,0.23961935937404633
27,0.910782516002655,0.18683911859989166,0.00025,0.9084084033966064,0.24357116222381592
28,0.9147922992706299,0.17494381964206696,0.000125,0.9079079031944275,0.23943696916103363
29,0.9196165800094604,0.17288750410079956,0.000125,0.9084084033966064,0.24274227023124695
30,0.9147922992706299,0.17097094655036926,0.000125,0.9109109044075012,0.2319696545600891
31,0.9179249405860901,0.16855506598949432,0.000125,0.9114114046096802,0.23839257657527924
32,0.9162333011627197,0.1681966483592987,0.000125,0.9089089035987854,0.2389916330575943
33,0.9203057289123535,0.16451223194599152,0.000125,0.9104104042053223,0.23658353090286255
34,0.9203057289123535,0.16672822833061218,6.25e-05,0.9109109044075012,0.23482608795166016
35,0.9184888005256653,0.1601008176803589,6.25e-05,0.9109109044075012,0.23147077858448029
36,0.922623872756958,0.16224728524684906,6.25e-05,0.9099099040031433,0.23472937941551208
37,0.9212455153465271,0.1604808121919632,6.25e-05,0.913413405418396,0.22794406116008759
38,0.9204937219619751,0.16301091015338898,6.25e-05,0.9109109044075012,0.23434396088123322
39,0.9234383702278137,0.1519121676683426,6.25e-05,0.9124124050140381,0.2346581220626831
40,0.923187792301178,0.16108384728431702,6.25e-05,0.913413405418396,0.22596478462219238
41,0.9251300096511841,0.15956862270832062,6.25e-05,0.9099099040031433,0.22877779603004456
42,0.9236890077590942,0.15780049562454224,6.25e-05,0.9124124050140381,0.22925570607185364
43,0.9253179430961609,0.15142203867435455,6.25e-05,0.9114114046096802,0.22513699531555176
44,0.9233130812644958,0.15281030535697937,6.25e-05,0.913913905620575,0.22753673791885376
45,0.925192654132843,0.1506654918193817,6.25e-05,0.9109109044075012,0.23437964916229248
46,0.9235010147094727,0.154152050614357,6.25e-05,0.912912905216217,0.22651202976703644
47,0.9275107979774475,0.14878346025943756,3.125e-05,0.9109109044075012,0.23068977892398834
48,0.9283252954483032,0.14347492158412933,3.125e-05,0.9109109044075012,0.22919149696826935
49,0.9268842935562134,0.15337270498275757,3.125e-05,0.9114114046096802,0.23407866060733795
