epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.258567750453949,1.7929437160491943,0.001,0.11261261254549026,1.7961881160736084
1,0.16866111755371094,1.7873154878616333,0.001,0.31481480598449707,1.6629703044891357
2,0.28312763571739197,1.724000334739685,0.001,0.18918919563293457,1.630435824394226
3,0.3030511736869812,1.6035300493240356,0.001,0.21371372044086456,1.398139476776123
4,0.27485746145248413,1.509732961654663,0.001,0.41591590642929077,1.3771889209747314
5,0.31815049052238464,1.467492699623108,0.001,0.33733734488487244,1.340036392211914
6,0.2870747447013855,1.3988999128341675,0.001,0.2712712585926056,1.476991891860962
7,0.3208445608615875,1.2766242027282715,0.001,0.4054054021835327,1.2251607179641724
8,0.41407179832458496,1.159363031387329,0.001,0.5150150060653687,1.158089280128479
9,0.5018482804298401,1.0580321550369263,0.001,0.6366366147994995,0.9489213228225708
10,0.5722699165344238,0.9476075172424316,0.001,0.6116116046905518,0.9298593997955322
11,0.6468266248703003,0.8213896155357361,0.001,0.7547547817230225,0.7206356525421143
12,0.6848568320274353,0.7390394806861877,0.001,0.7522522807121277,0.661616861820221
13,0.7111083269119263,0.6726874709129333,0.001,0.7832832932472229,0.6055119633674622
14,0.721132755279541,0.667505145072937,0.001,0.8323323130607605,0.4943065047264099
15,0.7463818192481995,0.6050027012825012,0.001,0.8318318128585815,0.47462502121925354
16,0.7517073154449463,0.5759868025779724,0.001,0.8513513803482056,0.42964649200439453
17,0.7684982419013977,0.5319157838821411,0.001,0.8358358144760132,0.43013688921928406
18,0.7738863229751587,0.5193132162094116,0.001,0.8478478193283081,0.4110275208950043
19,0.7817806005477905,0.5077438950538635,0.001,0.8703703880310059,0.3738149404525757
20,0.7904893159866333,0.46941277384757996,0.001,0.8753753900527954,0.3586548864841461
21,0.7967545986175537,0.46298977732658386,0.001,0.8678678870201111,0.35933345556259155
22,0.8021427392959595,0.4375057816505432,0.001,0.8783783912658691,0.3192189931869507
23,0.8050873875617981,0.44030076265335083,0.001,0.8788788914680481,0.33529239892959595
24,0.8165528178215027,0.4181877076625824,0.001,0.8813813924789429,0.3376562297344208
25,0.8179312348365784,0.406706839799881,0.001,0.8848848938941956,0.3255068063735962
26,0.8305870294570923,0.37756484746932983,0.0005,0.8998998999595642,0.28349536657333374
27,0.8319027423858643,0.3759137988090515,0.0005,0.8923923969268799,0.30339816212654114
28,0.8389198780059814,0.3563872277736664,0.0005,0.8948948979377747,0.2826012969017029
29,0.8337823152542114,0.36540356278419495,0.0005,0.8998998999595642,0.26691389083862305
30,0.8394837379455566,0.35863229632377625,0.0005,0.90190190076828,0.2597573399543762
31,0.8460623025894165,0.34503886103630066,0.0005,0.9014014005661011,0.2695912718772888
32,0.8448092341423035,0.34377750754356384,0.0005,0.902402400970459,0.2717188894748688
33,0.8454357385635376,0.34414342045783997,0.0005,0.8998998999595642,0.26780614256858826
34,0.85301673412323,0.3283788859844208,0.00025,0.9049049019813538,0.25085413455963135
35,0.8530793786048889,0.32229769229888916,0.00025,0.9034034013748169,0.2469586730003357
36,0.8540818095207214,0.3276436924934387,0.00025,0.90190190076828,0.25470614433288574
37,0.852954089641571,0.32426685094833374,0.00025,0.9079079031944275,0.2441100776195526
38,0.8594699501991272,0.3086163401603699,0.00025,0.9039039015769958,0.24632471799850464
39,0.8574024438858032,0.32153046131134033,0.00025,0.9044044017791748,0.25751540064811707
40,0.8603470921516418,0.309510201215744,0.00025,0.9054054021835327,0.23489075899124146
41,0.8587180972099304,0.30573734641075134,0.00025,0.902402400970459,0.2410169094800949
42,0.8625399470329285,0.30350661277770996,0.00025,0.9114114046096802,0.2415173202753067
43,0.861537516117096,0.30266377329826355,0.00025,0.9029029011726379,0.24674969911575317
44,0.8624773025512695,0.3003517687320709,0.000125,0.9049049019813538,0.2402820885181427
45,0.867364227771759,0.29583242535591125,0.000125,0.9059059023857117,0.24576866626739502
46,0.868116021156311,0.29195672273635864,0.000125,0.9094094038009644,0.22827431559562683
47,0.8688052296638489,0.291005939245224,0.000125,0.9064064025878906,0.2287556380033493
48,0.866862952709198,0.2944464385509491,0.000125,0.902402400970459,0.2351996898651123
49,0.8666750192642212,0.292705774307251,0.000125,0.9069069027900696,0.2366962432861328
