epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.18288327753543854,1.8247812986373901,0.01,0.20970970392227173,1.672538161277771
1,0.5938851237297058,0.9925284385681152,0.01,0.7552552819252014,0.7294514179229736
2,0.8059645295143127,0.4860420823097229,0.01,0.8468468189239502,0.4347061514854431
3,0.8572144508361816,0.34149491786956787,0.01,0.8753753900527954,0.3475434482097626
4,0.882526159286499,0.2747611701488495,0.01,0.8663663864135742,0.400749146938324
5,0.8968736529350281,0.23688746988773346,0.01,0.8933933973312378,0.29765018820762634
6,0.9143537282943726,0.1938982754945755,0.01,0.890890896320343,0.33337604999542236
7,0.921872079372406,0.17241279780864716,0.01,0.8943943977355957,0.3002983331680298
8,0.935718297958374,0.14095494151115417,0.01,0.8983983993530273,0.32964855432510376
9,0.9551406502723694,0.09364239126443863,0.005,0.9059059023857117,0.30625346302986145
10,0.9646638631820679,0.0732843279838562,0.005,0.9089089035987854,0.32366424798965454
11,0.9702399373054504,0.06676944345235825,0.005,0.9004004001617432,0.32679498195648193
12,0.9792619347572327,0.04294838756322861,0.0025,0.9049049019813538,0.3445168137550354
13,0.983585000038147,0.034312959760427475,0.0025,0.9039039015769958,0.35699015855789185
14,0.9877827167510986,0.028962979093194008,0.0025,0.9044044017791748,0.35804033279418945
15,0.9906020760536194,0.021904760971665382,0.00125,0.9054054021835327,0.37139761447906494
16,0.9924190044403076,0.01940079964697361,0.00125,0.9054054021835327,0.3819383382797241
17,0.9935467839241028,0.016626285389065742,0.00125,0.9069069027900696,0.39079996943473816
18,0.9951757192611694,0.013859329745173454,0.000625,0.902402400970459,0.39863649010658264
19,0.9956769347190857,0.012460974045097828,0.000625,0.9054054021835327,0.4025384783744812
20,0.9962408542633057,0.011328928172588348,0.000625,0.902402400970459,0.41025158762931824
