epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1905895620584488,1.7937629222869873,0.001,0.042042043060064316,1.8211702108383179
1,0.10456738620996475,1.7925795316696167,0.001,0.042042043060064316,1.793044090270996
2,0.14804837107658386,1.7919777631759644,0.001,0.09209208935499191,1.793197512626648
3,0.10062026232481003,1.7902604341506958,0.001,0.10510510206222534,1.7879042625427246
4,0.15099304914474487,1.789986252784729,0.001,0.34384384751319885,1.786379098892212
5,0.14704592525959015,1.7891703844070435,0.001,0.045045044273138046,1.7920535802841187
6,0.15155692398548126,1.7884554862976074,0.001,0.06606606394052505,1.7908737659454346
7,0.14817367494106293,1.787932276725769,0.001,0.04454454407095909,1.7997220754623413
8,0.13865046203136444,1.7846227884292603,0.0005,0.3408408463001251,1.785840630531311
9,0.1970427930355072,1.7826493978500366,0.0005,0.14714714884757996,1.796455979347229
10,0.1519954949617386,1.780753493309021,0.0005,0.09009008854627609,1.7990291118621826
11,0.17411190271377563,1.7799614667892456,0.0005,0.049049049615859985,1.8093935251235962
12,0.14817367494106293,1.776769757270813,0.00025,0.2612612545490265,1.787939429283142
13,0.19710543751716614,1.7766497135162354,0.00025,0.09509509801864624,1.7927011251449585
14,0.14172044396400452,1.7749637365341187,0.00025,0.2502502501010895,1.7896485328674316
15,0.15932585299015045,1.7728883028030396,0.000125,0.29379379749298096,1.7942770719528198
16,0.24923250079154968,1.770931363105774,0.000125,0.10910911113023758,1.8045878410339355
17,0.14547960460186005,1.7700012922286987,0.000125,0.2977977991104126,1.7923786640167236
18,0.23237892985343933,1.769492268562317,6.25e-05,0.11411411315202713,1.797270655632019
19,0.14992794394493103,1.7689098119735718,6.25e-05,0.19269269704818726,1.7968924045562744
20,0.1494893729686737,1.768829584121704,6.25e-05,0.2412412464618683,1.7961064577102661
21,0.2034960240125656,1.7683017253875732,3.125e-05,0.2467467486858368,1.794911503791809
22,0.23651400208473206,1.7669273614883423,3.125e-05,0.2532532513141632,1.7942034006118774
23,0.21640248596668243,1.7668259143829346,3.125e-05,0.2532532513141632,1.7937065362930298
