epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.20875884592533112,1.7935843467712402,0.001,0.044044043868780136,1.8111555576324463
1,0.11170979589223862,1.7926535606384277,0.001,0.049049049615859985,1.7958787679672241
2,0.14629408717155457,1.7927727699279785,0.001,0.08908908814191818,1.7944831848144531
3,0.10920368134975433,1.7907001972198486,0.001,0.10510510206222534,1.7874034643173218
4,0.15205813944339752,1.789958119392395,0.001,0.12362362444400787,1.7872546911239624
5,0.14410124719142914,1.789286732673645,0.001,0.07057057321071625,1.795275330543518
6,0.15851137042045593,1.7908689975738525,0.001,0.2842842936515808,1.787015676498413
7,0.16007769107818604,1.7856873273849487,0.001,0.45295295119285583,1.707501769065857
8,0.1742372065782547,1.7829879522323608,0.001,0.3323323428630829,1.782850980758667
9,0.166029691696167,1.7906640768051147,0.001,0.34834834933280945,1.784398078918457
10,0.17492638528347015,1.7925783395767212,0.001,0.2467467486858368,1.790753722190857
11,0.20030073821544647,1.7892833948135376,0.0005,0.17017017304897308,1.7924480438232422
12,0.27880460023880005,1.6552281379699707,0.0005,0.20520520210266113,1.4410135746002197
13,0.2882651388645172,1.5281568765640259,0.0005,0.22622622549533844,1.3879183530807495
14,0.3034897446632385,1.4870446920394897,0.0005,0.4499499499797821,1.3600516319274902
15,0.3387005925178528,1.45698082447052,0.0005,0.29479479789733887,1.3151626586914062
16,0.3689618408679962,1.4173485040664673,0.0005,0.2477477490901947,1.3965792655944824
17,0.34020423889160156,1.3666901588439941,0.0005,0.3543543517589569,1.3019936084747314
18,0.3645135164260864,1.284844160079956,0.0005,0.5010010004043579,1.2117230892181396
19,0.4220913350582123,1.213014841079712,0.0005,0.3678678572177887,1.2393525838851929
20,0.4657602906227112,1.129883885383606,0.0005,0.5470470190048218,1.0909804105758667
21,0.4940166771411896,1.0710391998291016,0.0005,0.4954954981803894,1.1207448244094849
22,0.5290395617485046,1.0172321796417236,0.0005,0.5680680871009827,1.0216635465621948
23,0.5526596307754517,0.9779573678970337,0.0005,0.6546546816825867,0.8912752270698547
24,0.5752145648002625,0.9315769076347351,0.0005,0.6301301121711731,0.9266276955604553
25,0.6007142663002014,0.9097720384597778,0.0005,0.7082082033157349,0.8254731893539429
26,0.6388697624206543,0.8302785754203796,0.0005,0.7317317128181458,0.7226725220680237
27,0.6668754816055298,0.7707522511482239,0.0005,0.7547547817230225,0.6787519454956055
28,0.6965102553367615,0.7058769464492798,0.0005,0.7747747898101807,0.6295790076255798
29,0.6988910436630249,0.7091603875160217,0.0005,0.7612612843513489,0.6413465142250061
30,0.7231376767158508,0.64583420753479,0.0005,0.7787787914276123,0.576539158821106
31,0.7370465397834778,0.6032906174659729,0.0005,0.7727727890014648,0.6122612357139587
32,0.7400538921356201,0.6086074113845825,0.0005,0.8243243098258972,0.4801989793777466
33,0.7601027488708496,0.5630236864089966,0.0005,0.8298298120498657,0.4564078450202942
34,0.7585364580154419,0.5529042482376099,0.0005,0.8218218088150024,0.48579463362693787
35,0.7759538888931274,0.515125572681427,0.0005,0.848848819732666,0.41885754466056824
36,0.7820311784744263,0.5070534944534302,0.0005,0.857357382774353,0.4016525149345398
37,0.792055606842041,0.4838070273399353,0.0005,0.8608608841896057,0.3890616297721863
38,0.7956268191337585,0.47405773401260376,0.0005,0.8838838934898376,0.35734596848487854
39,0.80182945728302,0.46225234866142273,0.0005,0.8758758902549744,0.364397257566452
40,0.8049620985984802,0.45576128363609314,0.0005,0.8738738894462585,0.40412476658821106
41,0.8112900257110596,0.42133620381355286,0.0005,0.8848848938941956,0.3236944079399109
42,0.8138588070869446,0.4168764054775238,0.0005,0.8898898959159851,0.3240971863269806
43,0.8199360966682434,0.4050821363925934,0.0005,0.8843843936920166,0.32308441400527954
44,0.8327798843383789,0.3753375709056854,0.0005,0.8888888955116272,0.3130319118499756
45,0.8348474502563477,0.3714544475078583,0.0005,0.90190190076828,0.2672334313392639
46,0.8421778082847595,0.3539551794528961,0.0005,0.8988988995552063,0.2749667465686798
47,0.8414259552955627,0.3544573187828064,0.0005,0.9034034013748169,0.26468417048454285
48,0.8449345231056213,0.3465520739555359,0.0005,0.8838838934898376,0.3032294511795044
49,0.8505105972290039,0.3328506648540497,0.0005,0.90190190076828,0.2906334698200226
