epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3453417718410492,1.4853205680847168,0.01,0.739739716053009,0.7348340153694153
1,0.682350754737854,0.7594462633132935,0.01,0.8308308124542236,0.4852963984012604
2,0.7315957546234131,0.655275821685791,0.01,0.8633633852005005,0.40688756108283997
3,0.7478854656219482,0.623313844203949,0.01,0.879379391670227,0.3493192791938782
4,0.7691247463226318,0.5617555379867554,0.01,0.8708708882331848,0.4027538001537323
5,0.7695633172988892,0.5511215925216675,0.01,0.8743743896484375,0.3664275109767914
6,0.7849758863449097,0.5116079449653625,0.01,0.8918918967247009,0.30408182740211487
7,0.7912411689758301,0.49807387590408325,0.01,0.8853853940963745,0.3747313618659973
8,0.7983208894729614,0.485201358795166,0.01,0.879879891872406,0.37566202878952026
9,0.7835975289344788,0.5420529246330261,0.01,0.8753753900527954,0.4075888693332672
10,0.8021427392959595,0.47188425064086914,0.005,0.8898898959159851,0.31996679306030273
11,0.8100996017456055,0.4589773118495941,0.005,0.8978978991508484,0.3086698353290558
12,0.8106008172035217,0.4472811222076416,0.005,0.9034034013748169,0.28113657236099243
13,0.8250109553337097,0.423705518245697,0.005,0.9009009003639221,0.28595301508903503
14,0.8270158767700195,0.4060269296169281,0.005,0.90190190076828,0.27210095524787903
15,0.8216903805732727,0.41928553581237793,0.005,0.90190190076828,0.2841498851776123
16,0.826827883720398,0.40795326232910156,0.005,0.9069069027900696,0.26300495862960815
17,0.835223376750946,0.39333388209342957,0.005,0.9009009003639221,0.28646254539489746
18,0.831401526927948,0.3999372124671936,0.005,0.8978978991508484,0.3157414197921753
19,0.8400475978851318,0.37810516357421875,0.005,0.90190190076828,0.29243889451026917
20,0.843242883682251,0.36506006121635437,0.0025,0.912912905216217,0.2616618573665619
21,0.8483178019523621,0.3555664122104645,0.0025,0.913413405418396,0.24745988845825195
22,0.8488816618919373,0.3580780327320099,0.0025,0.9059059023857117,0.2702891230583191
23,0.8520143032073975,0.3446834087371826,0.0025,0.9099099040031433,0.2447539120912552
24,0.8507612347602844,0.3507636785507202,0.0025,0.9159159064292908,0.2407953292131424
25,0.849696159362793,0.3486771881580353,0.0025,0.913413405418396,0.2429613322019577
26,0.847064733505249,0.3506479859352112,0.0025,0.9089089035987854,0.2546033263206482
27,0.8540191650390625,0.3326118588447571,0.0025,0.9144144058227539,0.23384065926074982
28,0.8528914451599121,0.33480945229530334,0.0025,0.9179179072380066,0.22016236186027527
29,0.8590313792228699,0.32453709840774536,0.0025,0.9184184074401855,0.22951790690422058
30,0.857653021812439,0.33234530687332153,0.0025,0.9184184074401855,0.23557449877262115
31,0.8600338101387024,0.32002100348472595,0.0025,0.9099099040031433,0.2457016110420227
32,0.8636050224304199,0.3175387680530548,0.00125,0.9174174070358276,0.2327365279197693
33,0.8629785180091858,0.3115485906600952,0.00125,0.912912905216217,0.238997220993042
34,0.8628532290458679,0.3082254230976105,0.00125,0.9144144058227539,0.22950240969657898
35,0.8688678741455078,0.29879897832870483,0.000625,0.9189189076423645,0.2204570770263672
36,0.8640435934066772,0.3050229847431183,0.000625,0.9169169068336487,0.22573745250701904
37,0.8688052296638489,0.30845871567726135,0.000625,0.9194194078445435,0.21472778916358948
38,0.8671762347221375,0.3030506670475006,0.000625,0.9204204082489014,0.2155807912349701
39,0.8697450160980225,0.298911988735199,0.000625,0.9179179072380066,0.22299174964427948
40,0.8670509457588196,0.29694846272468567,0.000625,0.9159159064292908,0.21571767330169678
41,0.8666123747825623,0.29852670431137085,0.0003125,0.9194194078445435,0.21671758592128754
42,0.8684919476509094,0.2969219386577606,0.0003125,0.9184184074401855,0.2235732525587082
43,0.8669883012771606,0.2984599173069,0.0003125,0.9184184074401855,0.22143132984638214
44,0.8749451637268066,0.28603723645210266,0.00015625,0.9174174070358276,0.22482134401798248
45,0.8693690896034241,0.28782767057418823,0.00015625,0.9189189076423645,0.2209370732307434
46,0.8758223056793213,0.2739710509777069,0.00015625,0.9214214086532593,0.21985569596290588
47,0.8723764419555664,0.2851823568344116,7.8125e-05,0.9214214086532593,0.21939308941364288
48,0.8695570230484009,0.28728631138801575,7.8125e-05,0.9214214086532593,0.22033929824829102
49,0.8704968094825745,0.2907140851020813,7.8125e-05,0.9204204082489014,0.2212161421775818
