epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.18000125885009766,1.7937092781066895,0.001,0.04154154285788536,1.8273450136184692
1,0.11628343909978867,1.7926493883132935,0.001,0.04254254326224327,1.7946571111679077
2,0.14172044396400452,1.7922807931900024,0.001,0.09159158915281296,1.7959201335906982
3,0.1017480120062828,1.790336012840271,0.001,0.1056056022644043,1.7863173484802246
4,0.15794749557971954,1.7901077270507812,0.001,0.3498498499393463,1.7858225107192993
5,0.15663178265094757,1.7889238595962524,0.001,0.06806806474924088,1.7924094200134277
6,0.1459808349609375,1.7889848947525024,0.001,0.046046044677495956,1.7922900915145874
7,0.13163335621356964,1.787607192993164,0.001,0.042042043060064316,1.8071961402893066
8,0.16433806717395782,1.785166621208191,0.0005,0.3378378450870514,1.789765477180481
9,0.1796879917383194,1.783233404159546,0.0005,0.13313312828540802,1.7963833808898926
10,0.1650899052619934,1.7817412614822388,0.0005,0.09209208935499191,1.7951313257217407
11,0.18369776010513306,1.778441309928894,0.00025,0.09959959983825684,1.804394006729126
12,0.15951381623744965,1.7773982286453247,0.00025,0.2657657563686371,1.7853856086730957
13,0.19835850596427917,1.7776793241500854,0.00025,0.11461461335420609,1.7910507917404175
14,0.130568265914917,1.7753056287765503,0.00025,0.10010010004043579,1.7954035997390747
15,0.1360190510749817,1.7746840715408325,0.00025,0.2797797918319702,1.7925622463226318
16,0.2398972511291504,1.7704095840454102,0.000125,0.09259258955717087,1.8019534349441528
17,0.1274356245994568,1.7708024978637695,0.000125,0.26376375555992126,1.7952544689178467
18,0.18012656271457672,1.7710652351379395,0.000125,0.0965965986251831,1.8021953105926514
19,0.13382619619369507,1.7678899765014648,6.25e-05,0.1056056022644043,1.8008663654327393
20,0.13169601559638977,1.768113613128662,6.25e-05,0.22272272408008575,1.7971813678741455
21,0.17530229687690735,1.7660092115402222,6.25e-05,0.23173172771930695,1.79679536819458
22,0.2112649530172348,1.7668794393539429,3.125e-05,0.23623622953891754,1.7965871095657349
23,0.19190527498722076,1.7659120559692383,3.125e-05,0.22472472488880157,1.7971422672271729
24,0.17956268787384033,1.76600980758667,3.125e-05,0.22722722589969635,1.7971755266189575
25,0.19428607821464539,1.7662174701690674,1.5625e-05,0.2187187224626541,1.797473669052124
26,0.19228118658065796,1.766597032546997,1.5625e-05,0.21071070432662964,1.7979350090026855
27,0.19171731173992157,1.765499472618103,1.5625e-05,0.22622622549533844,1.7977577447891235
