epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.21276862919330597,1.793403148651123,0.001,0.04154154285788536,1.8154618740081787
1,0.12737296521663666,1.7925838232040405,0.001,0.13813814520835876,1.7947367429733276
2,0.14873754978179932,1.7915621995925903,0.001,0.09159158915281296,1.7948694229125977
3,0.09184888005256653,1.790624976158142,0.001,0.10610610246658325,1.787406086921692
4,0.1752396523952484,1.790329098701477,0.001,0.34734734892845154,1.7872376441955566
5,0.15080508589744568,1.7897053956985474,0.001,0.043043043464422226,1.7950313091278076
6,0.17517699301242828,1.7900865077972412,0.001,0.3488488495349884,1.7833783626556396
7,0.1529979258775711,1.788312554359436,0.001,0.26376375555992126,1.7948954105377197
8,0.14366267621517181,1.7872529029846191,0.001,0.29379379749298096,1.7894936800003052
9,0.16991417109966278,1.7862164974212646,0.001,0.13713712990283966,1.79250967502594
10,0.16634295880794525,1.783514380455017,0.0005,0.08708708733320236,1.796547293663025
11,0.1822567582130432,1.783095121383667,0.0005,0.04954954981803894,1.8073581457138062
12,0.14378798007965088,1.7820158004760742,0.0005,0.2577577531337738,1.785114049911499
13,0.20499968528747559,1.7785415649414062,0.00025,0.091091088950634,1.7930392026901245
14,0.1329490691423416,1.7765930891036987,0.00025,0.231231227517128,1.7856910228729248
15,0.12449094653129578,1.7771308422088623,0.00025,0.3113113045692444,1.791808009147644
16,0.25267839431762695,1.7740119695663452,0.000125,0.10610610246658325,1.7979803085327148
17,0.1358310878276825,1.7745226621627808,0.000125,0.3078078031539917,1.7906583547592163
18,0.22279305756092072,1.7727341651916504,0.000125,0.10960961133241653,1.7938722372055054
19,0.15519078075885773,1.771028995513916,6.25e-05,0.11311311274766922,1.7937202453613281
20,0.12875133752822876,1.7711737155914307,6.25e-05,0.11611611396074295,1.7921695709228516
21,0.2005513459444046,1.7686275243759155,6.25e-05,0.2277277261018753,1.789559245109558
